Name,Building Families' Capacity as their Child's Primary Advocate,Building Families' Capacity as their Child's Primary Teacher,Inclusive Leadership,Outreach to Parents,Parent Involvement in School,Parent-Principal Trust,Parent-Teacher Trust,Strong Relationships,Two-Way Communication
07X154 - P.S. 154 Jonathan D. Hyatt,80.0,80.0,98.0,96.0,89.0,98.0,97.0,100.0,100.0
07X157 - P.S. 157 Grove Hill,40.0,93.0,98.0,97.0,88.0,98.0,98.0,93.0,93.0
07X161 - P.S. 161 Juan Ponce De Leon School,77.0,100.0,97.0,94.0,84.0,95.0,94.0,96.0,100.0
07X179 - P.S. 179,67.0,100.0,92.0,94.0,93.0,94.0,91.0,100.0,100.0
07X221 - South Bronx Preparatory: A College Board School,,,96.0,92.0,69.0,98.0,94.0,,
07X223 - The Laboratory School of Finance and Technology: X223,,,95.0,88.0,77.0,93.0,88.0,,
07X224 - P.S./I.S. 224,,,100.0,100.0,57.0,100.0,100.0,,
"07X259 - H.E.R.O. High (Health, Education, and Research Occupations High School)",,,98.0,97.0,83.0,97.0,98.0,,
07X277 - P.S. 277,87.0,93.0,96.0,94.0,89.0,95.0,97.0,95.0,95.0
07X296 - South Bronx Academy for Applied Media,,,99.0,95.0,74.0,98.0,97.0,,
07X298 - Academy of Public Relations,,,99.0,96.0,95.0,98.0,98.0,,
07X334 - International Community High School,,,97.0,92.0,84.0,95.0,94.0,,
07X343 - Academy of Applied Mathematics and Technology,,,95.0,92.0,87.0,95.0,96.0,,
07X359 - Concourse Village Elementary School,,,89.0,89.0,84.0,100.0,95.0,,
07X369 - Young Leaders Elementary School,,,97.0,96.0,96.0,97.0,97.0,,
07X379 - Jill Chaifetz Transfer High School,,,92.0,93.0,75.0,97.0,91.0,,
07X427 - Community School for Social Justice,,,99.0,94.0,92.0,96.0,96.0,,
07X473 - Mott Haven Village Preparatory High School,,,90.0,90.0,78.0,91.0,92.0,,
07X495 - University Heights Secondary School,,,89.0,89.0,82.0,94.0,92.0,,
07X500 - Hostos-Lincoln Academy of Science,,,89.0,85.0,68.0,90.0,84.0,,
07X522 - Bronx Design and Construction Academy,,,88.0,89.0,67.0,93.0,90.0,,
07X527 - Bronx Leadership Academy II High School,,,97.0,95.0,80.0,97.0,95.0,,
07X548 - Careers in Sports High School,,,96.0,92.0,63.0,97.0,96.0,,
07X551 - The Urban Assembly Bronx Academy of Letters,,,96.0,86.0,84.0,98.0,98.0,,
07X557 - Mott Haven Community High School,,,100.0,100.0,72.0,100.0,100.0,,
07X584 - I.S. 584,,,86.0,91.0,82.0,88.0,85.0,,
07X600 - Alfred E. Smith Career and Technical Education High School,,,97.0,96.0,87.0,100.0,96.0,,
07X625 - Bronx Legacy High School,,,94.0,90.0,84.0,97.0,97.0,,
07X670 - Health Opportunities High School,,,99.0,99.0,59.0,98.0,98.0,,
08X014 - P.S. X014 Senator John Calandra,78.0,95.0,93.0,95.0,91.0,95.0,94.0,100.0,90.0
08X036 - P.S. 036 Unionport,100.0,100.0,100.0,100.0,97.0,100.0,100.0,100.0,100.0
08X048 - P.S. 048 Joseph R. Drake,100.0,100.0,93.0,92.0,86.0,92.0,96.0,100.0,100.0
08X062 - P.S. 062 Inocensio Casanova,100.0,100.0,97.0,96.0,96.0,97.0,95.0,100.0,100.0
08X069 - P.S. 069 Journey Prep School,29.0,100.0,96.0,96.0,90.0,96.0,98.0,100.0,100.0
08X071 - P.S. 071 Rose E. Scala,,,94.0,93.0,89.0,93.0,95.0,,
08X072 - P.S. 072 Dr. William Dorney,87.0,100.0,99.0,96.0,93.0,98.0,98.0,100.0,93.0
08X075 - P.S. 75 School of Research and Discovery,91.0,99.0,96.0,96.0,88.0,98.0,95.0,97.0,100.0
08X093 - P.S. 093 Albert G. Oliver,,,85.0,100.0,97.0,86.0,100.0,,
08X100 - P.S. 100 Isaac Clason,89.0,99.0,96.0,95.0,86.0,95.0,95.0,100.0,100.0
08X101 - M.S. X101 Edward R. Byrne,,,97.0,92.0,82.0,97.0,95.0,,
08X107 - P.S. 107,79.0,95.0,92.0,91.0,88.0,92.0,93.0,97.0,97.0
08X119 - The Dr. Emmett W. Bassett School,87.0,100.0,98.0,96.0,86.0,97.0,97.0,93.0,87.0
08X123 - J.H.S. 123 James M. Kieran,,,96.0,93.0,84.0,95.0,95.0,,
08X130 - P.S. 130 Abram Stevens Hewitt,80.0,93.0,93.0,94.0,92.0,92.0,94.0,100.0,100.0
08X131 - J.H.S. 131 Albert Einstein,,,95.0,90.0,77.0,94.0,93.0,,
08X138 - P.S. 138 Samuel Randall,71.0,94.0,96.0,93.0,90.0,96.0,94.0,94.0,94.0
08X140 - P.S. X140 The Eagle School,80.0,95.0,92.0,90.0,84.0,89.0,91.0,95.0,95.0
08X146 - P.S. 146 Edward Collins,69.0,96.0,95.0,92.0,87.0,90.0,94.0,100.0,85.0
08X152 - P.S. 152 Evergreen,,,89.0,92.0,82.0,89.0,95.0,,
08X182 - P.S. 182,86.0,100.0,97.0,96.0,76.0,97.0,97.0,100.0,100.0
08X269 - Bronx Studio School for Writers and Artists,,,91.0,85.0,78.0,93.0,90.0,,
08X282 - Women's Academy of Excellence,,,84.0,75.0,72.0,91.0,96.0,,
08X293 - Renaissance High School for Musical Theater and the Arts,,,94.0,93.0,77.0,95.0,93.0,,
08X301 - M.S. 301 Paul L. Dunbar,,,100.0,99.0,98.0,100.0,100.0,,
08X302 - M.S. 302 Luisa Dessus Cruz,,,94.0,95.0,87.0,94.0,96.0,,
08X304 - P.S. 304 Early Childhood School,68.0,90.0,99.0,97.0,91.0,98.0,98.0,100.0,90.0
08X312 - Millennium Art Academy,,,98.0,95.0,75.0,97.0,95.0,,
08X320 - Pelham Lab High School,,,100.0,100.0,81.0,100.0,100.0,,
08X333 - The Longwood Academy of Discovery,83.0,92.0,90.0,93.0,89.0,89.0,92.0,92.0,92.0
08X337 - The School for Inquiry and Social Justice,,,93.0,91.0,92.0,94.0,95.0,,
08X348 - Schuylerville Preparatory High School,,,92.0,94.0,66.0,94.0,89.0,,
08X349 - Bronx River High School,,,99.0,94.0,69.0,98.0,97.0,,
"08X367 - Archimedes Academy for Math, Science and Technology Applications",,,94.0,90.0,76.0,96.0,93.0,,
08X371 - Urban Institute of Mathematics,,,90.0,93.0,90.0,95.0,89.0,,
08X375 - The Bronx Mathematics Preparatory School,,,98.0,95.0,82.0,99.0,97.0,,
08X376 - Antonia Pantoja Preparatory Academy: A College Board School,,,94.0,92.0,73.0,95.0,92.0,,
08X377 - Bronx Community High School,,,100.0,95.0,85.0,100.0,94.0,,
08X392 - Bronx Delta School,67.0,100.0,94.0,96.0,95.0,97.0,97.0,100.0,100.0
08X405 - Herbert H. Lehman High School,,,89.0,92.0,75.0,90.0,90.0,,
08X424 - Bronx Academy for Multi-Media,,,99.0,97.0,86.0,97.0,98.0,,
08X432 - Bronx Bridges High School,,,98.0,97.0,92.0,97.0,97.0,,
08X448 - Soundview Academy for Culture and Scholarship,,,91.0,92.0,87.0,94.0,92.0,,
08X452 - Gotham Collaborative High School,,,97.0,96.0,77.0,97.0,97.0,,
08X467 - Mott Hall Community School,,,90.0,87.0,84.0,88.0,89.0,,
08X530 - Longwood Preparatory Academy,,,100.0,98.0,87.0,100.0,100.0,,
08X558 - Westchester Square Academy,,,96.0,94.0,84.0,97.0,96.0,,
08X561 - Bronx Compass High School,,,93.0,94.0,74.0,95.0,95.0,,
08X562 - Pugsley Preparatory Academy,,,94.0,82.0,83.0,92.0,89.0,,
08X583 - P.S. 583,,,91.0,98.0,94.0,98.0,97.0,,
09X004 - P.S./M.S. 004 Crotona Park West,100.0,100.0,90.0,93.0,90.0,89.0,95.0,100.0,100.0
09X011 - P.S. 011 Highbridge,,,100.0,98.0,92.0,100.0,98.0,,
09X022 - J.H.S. 022 Jordan L. Mott,,,99.0,98.0,87.0,99.0,99.0,,
09X028 - P.S. 028 Mount Hope,69.0,100.0,95.0,89.0,85.0,93.0,91.0,100.0,100.0
09X035 - P.S. 035 Franz Siegel,,,95.0,94.0,88.0,97.0,96.0,,
09X042 - P.S. 042 Claremont,100.0,95.0,97.0,97.0,92.0,98.0,98.0,95.0,95.0
09X053 - P.S. 053 Basheer Quisim,81.0,95.0,91.0,93.0,83.0,92.0,94.0,91.0,91.0
09X055 - P.S. 055 Benjamin Franklin,95.0,95.0,100.0,97.0,86.0,100.0,97.0,95.0,95.0
09X058 - P.S. 058,25.0,25.0,70.0,73.0,89.0,71.0,74.0,25.0,25.0
09X063 - P.S. 063 Author's Academy,80.0,97.0,97.0,98.0,93.0,97.0,97.0,100.0,97.0
09X070 - P.S. 070 Max Schoenfeld,100.0,100.0,99.0,96.0,86.0,98.0,97.0,100.0,100.0
09X073 - P.S. 073 Bronx,,,81.0,89.0,92.0,85.0,89.0,,
09X088 - P.S. X088 - S. Silverstein Little Sparrow School,,,100.0,100.0,98.0,100.0,100.0,,
09X109 - P.S. 109 Sedgwick,,,97.0,99.0,97.0,98.0,99.0,,
09X110 - P.S. 110 Theodore Schoenfeld,71.0,100.0,96.0,95.0,83.0,96.0,96.0,100.0,100.0
09X114 - P.S. X114 - Luis Llorens Torres Schools,84.0,100.0,97.0,96.0,91.0,97.0,97.0,100.0,100.0
09X117 - I.S. 117 Joseph H. Wade,,,98.0,98.0,95.0,99.0,98.0,,
09X126 - P.S. 126 Dr Marjorie H Dunbar,95.0,97.0,96.0,95.0,90.0,95.0,95.0,97.0,98.0
09X128 - Mott Hall III,,,99.0,98.0,89.0,99.0,99.0,,
09X132 - P.S. 132 Garret A. Morgan,71.0,100.0,95.0,93.0,85.0,99.0,96.0,100.0,100.0
09X163 - P.S. 163 Arthur A. Schomburg,83.0,100.0,98.0,95.0,88.0,97.0,96.0,100.0,100.0
09X170 - P.S. 170,100.0,100.0,99.0,99.0,98.0,99.0,99.0,100.0,100.0
09X199 - P.S. 199X - The Shakespeare School,87.0,100.0,97.0,95.0,84.0,97.0,97.0,100.0,96.0
09X204 - P.S. 204 Morris Heights,100.0,100.0,99.0,97.0,94.0,98.0,98.0,100.0,100.0
09X215 - Kappa,,,97.0,88.0,83.0,97.0,93.0,,
09X218 - P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,,,91.0,88.0,80.0,95.0,92.0,,
09X219 - I.S. 219 New Venture School,,,97.0,96.0,82.0,98.0,97.0,,
09X227 - Bronx Collegiate Academy,,,98.0,99.0,88.0,100.0,100.0,,
09X229 - I.S. 229 Roland Patterson,,,99.0,99.0,76.0,99.0,99.0,,
09X231 - Eagle Academy for Young Men,,,95.0,91.0,81.0,92.0,92.0,,
09X232 - I.S. 232,,,99.0,99.0,94.0,100.0,100.0,,
09X236 - P.S. 236 Langston Hughes,95.0,100.0,95.0,96.0,89.0,95.0,96.0,100.0,100.0
"09X241 - Urban Assembly School for Applied Math and Science, The",,,95.0,91.0,87.0,96.0,94.0,,
09X250 - Eximius College Preparatory Academy: A College Board School,,,98.0,98.0,78.0,94.0,97.0,,
09X252 - Mott Hall Bronx High School,,,93.0,95.0,82.0,96.0,94.0,,
09X260 - Bronx Center for Science and Mathematics,,,96.0,90.0,80.0,94.0,93.0,,
09X263 - Validus Preparatory Academy,,,99.0,94.0,75.0,95.0,93.0,,
09X274 - The New American Academy at Roberto Clemente State Park,,,87.0,88.0,84.0,83.0,90.0,,
09X294 - The Walton Avenue School,,,99.0,99.0,87.0,99.0,99.0,,
09X297 - Morris Academy for Collaborative Studies,,,97.0,94.0,79.0,99.0,95.0,,
09X303 - I.S. X303 Leadership & Community Service,,,96.0,96.0,89.0,97.0,96.0,,
09X311 - Lucero Elementary School,,,98.0,95.0,92.0,96.0,96.0,,
09X313 - I.S. 313 School of Leadership Development,,,98.0,97.0,91.0,97.0,98.0,,
09X323 - Bronx Writing Academy,,,94.0,96.0,83.0,96.0,96.0,,
09X324 - Bronx Early College Academy for Teaching & Learning,,,93.0,98.0,77.0,94.0,97.0,,
09X327 - Comprehensive Model School Project M.S. 327,,,97.0,95.0,84.0,99.0,97.0,,
09X328 - New Millennium Bronx Academy of the Arts,,,98.0,92.0,75.0,97.0,91.0,,
09X329 - DreamYard Preparatory School,,,96.0,94.0,79.0,96.0,95.0,,
09X339 - I.S. 339,,,89.0,74.0,80.0,79.0,79.0,,
09X361 - The Highbridge Green School,,,98.0,97.0,85.0,98.0,98.0,,
09X365 - Academy for Language and Technology,,,100.0,100.0,68.0,100.0,100.0,,
09X404 - School for Excellence,,,99.0,96.0,79.0,99.0,95.0,,
09X412 - Bronx High School of Business,,,94.0,96.0,75.0,97.0,97.0,,
09X413 - Bronx High School for Medical Science,,,91.0,83.0,70.0,91.0,90.0,,
09X443 - The Family School,100.0,100.0,99.0,99.0,97.0,99.0,99.0,100.0,100.0
09X449 - Grant Avenue Elementary School,,,97.0,96.0,86.0,97.0,94.0,,
09X454 - Science and Technology Academy: A Mott Hall School,,,97.0,95.0,94.0,97.0,97.0,,
09X457 - Sheridan Academy for Young Leaders,80.0,100.0,87.0,90.0,94.0,88.0,90.0,100.0,100.0
"09X505 - Bronx School for Law, Government and Justice",,,94.0,91.0,79.0,95.0,94.0,,
09X517 - Frederick Douglass Academy III Secondary School,,,98.0,94.0,62.0,95.0,97.0,,
09X525 - Bronx Leadership Academy High School,,,100.0,100.0,85.0,100.0,100.0,,
09X543 - High School for Violin and Dance,,,100.0,100.0,80.0,100.0,100.0,,
09X555 - Mount Eden Children's Academy,75.0,92.0,99.0,99.0,94.0,99.0,99.0,100.0,100.0
09X564 - Claremont International HS,,,100.0,93.0,93.0,100.0,98.0,,
09X568 - Young Women's Leadership School of the Bronx,,,95.0,93.0,83.0,95.0,95.0,,
09X593 - South Bronx International Middle School,,,98.0,98.0,89.0,98.0,98.0,,
09X594 - New Pathways Academy,,,95.0,93.0,82.0,96.0,95.0,,
10X003 - P.S. 3 Raul Julia Micro Society,83.0,83.0,97.0,92.0,85.0,96.0,94.0,83.0,83.0
10X007 - Milton Fein School,,,95.0,97.0,91.0,96.0,98.0,,
10X008 - P.S. 008 Isaac Varian,,,91.0,92.0,92.0,90.0,93.0,,
10X009 - P.S. 9 Ryer Avenue Elementary School,78.0,90.0,93.0,91.0,88.0,92.0,91.0,90.0,80.0
10X015 - P.S. X015 Institute for Environmental Learning,,,91.0,91.0,89.0,92.0,91.0,,
"10X020 - PS/MS 20 P.O.George J. Werdann, III",,,95.0,94.0,89.0,95.0,96.0,,
10X023 - P.S. 023 The New Children's School,75.0,88.0,88.0,91.0,90.0,85.0,95.0,88.0,100.0
10X024 - P.S. 024 Spuyten Duyvil,,,91.0,94.0,93.0,89.0,96.0,,
10X032 - P.S. 032 Belmont,,,100.0,90.0,100.0,95.0,95.0,,
10X033 - P.S. 033 Timothy Dwight,90.0,98.0,95.0,94.0,90.0,94.0,95.0,100.0,100.0
10X037 - P.S. X037 - Multiple Intelligence School,,,100.0,100.0,90.0,100.0,97.0,,
10X045 - Thomas C. Giordano Middle School 45,,,90.0,85.0,82.0,92.0,88.0,,
10X046 - P.S. 046 Edgar Allan Poe,,,96.0,96.0,88.0,96.0,98.0,,
10X051 - The Bronx STEM and Arts Academy,91.0,100.0,96.0,95.0,95.0,94.0,97.0,100.0,91.0
10X054 - P.S./I.S. 54,76.0,98.0,93.0,93.0,92.0,93.0,95.0,100.0,100.0
10X056 - P.S. 056 Norwood Heights,,,96.0,95.0,87.0,98.0,97.0,,
10X059 - P.S. 059 The Community School of Technology,100.0,100.0,99.0,99.0,95.0,99.0,99.0,100.0,100.0
10X077 - Bedford Park Elementary School,,,96.0,94.0,98.0,96.0,92.0,,
10X080 - J.H.S. 080 The Mosholu Parkway,,,77.0,84.0,52.0,88.0,83.0,,
10X081 - P.S. 081 Robert J. Christen,,,94.0,98.0,92.0,95.0,97.0,,
10X085 - P.S. 085 Great Expectations,87.0,100.0,97.0,95.0,89.0,97.0,97.0,100.0,100.0
10X086 - P.S. 086 Kingsbridge Heights,,,94.0,93.0,85.0,96.0,95.0,,
10X091 - P.S. 091 Bronx,,,99.0,97.0,92.0,97.0,97.0,,
10X094 - P.S. 094 Kings College School,,,97.0,96.0,93.0,96.0,96.0,,
10X095 - P.S. 095 Sheila Mencher,,,94.0,92.0,88.0,95.0,94.0,,
10X118 - J.H.S. 118 William W. Niles,,,85.0,91.0,77.0,91.0,91.0,,
10X141 - Riverdale / Kingsbridge Academy (Middle School / High School 141),,,97.0,92.0,82.0,97.0,95.0,,
10X159 - P.S. 159 Luis Munoz Marin Biling,,,100.0,100.0,90.0,100.0,100.0,,
10X205 - P.S. 205 Fiorello LaGuardia,,,96.0,95.0,89.0,96.0,95.0,,
10X206 - I.S. 206 Ann Mersereau,,,100.0,99.0,81.0,100.0,98.0,,
10X207 - P.S. 207,53.0,83.0,95.0,94.0,82.0,95.0,96.0,94.0,89.0
10X209 - P.S. 209,71.0,100.0,97.0,99.0,90.0,97.0,97.0,97.0,97.0
10X213 - Bronx Engineering and Technology Academy,,,100.0,100.0,85.0,100.0,99.0,,
10X225 - Theatre Arts Production Company School,,,99.0,95.0,83.0,97.0,92.0,,
10X226 - P.S. 226,,,92.0,93.0,91.0,91.0,93.0,,
10X228 - Jonas Bronck Academy,,,96.0,95.0,92.0,97.0,96.0,,
"10X237 - The Marie Curie School for Medicine, Nursing, and Health Professions",,,97.0,94.0,74.0,95.0,94.0,,
10X243 - West Bronx Academy for the Future,,,92.0,92.0,92.0,97.0,96.0,,
10X244 - The New School for Leadership and Journalism,,,98.0,99.0,93.0,99.0,99.0,,
10X246 - P.S. 246 Poe Center,,,95.0,95.0,93.0,97.0,96.0,,
10X254 - I.S. 254,,,92.0,87.0,72.0,91.0,88.0,,
10X264 - Bronx Academy for Software Engineering (BASE),,,96.0,89.0,82.0,95.0,93.0,,
10X268 - Kingsbridge International High School,,,98.0,98.0,83.0,100.0,98.0,,
"10X279 - P.S. 279 Captain Manuel Rivera, Jr.",,,98.0,98.0,97.0,98.0,98.0,,
10X280 - P.S./M.S. 280 Mosholu Parkway,,,88.0,87.0,97.0,89.0,93.0,,
10X284 - Bronx School of Law and Finance,,,100.0,90.0,72.0,94.0,91.0,,
10X291 - P.S. 291,,,97.0,94.0,94.0,98.0,96.0,,
10X306 - P.S. 306,,,100.0,95.0,87.0,97.0,96.0,,
10X307 - Luisa Pineiro Fuentes School of Science and Discovery,,,96.0,97.0,93.0,97.0,97.0,,
10X308 - Bronx Dance Academy School,,,97.0,96.0,82.0,100.0,100.0,,
10X310 - P.S. 310 Marble Hill,86.0,100.0,98.0,98.0,88.0,98.0,97.0,100.0,100.0
10X315 - P.S. 315 Lab School,,,97.0,95.0,88.0,97.0,96.0,,
10X331 - The Bronx School of Young Leaders,,,92.0,93.0,86.0,95.0,94.0,,
10X340 - P.S. 340,,,100.0,100.0,96.0,100.0,99.0,,
10X342 - International School for Liberal Arts,,,97.0,96.0,91.0,98.0,97.0,,
10X344 - Ampark Neighborhood,,,98.0,95.0,94.0,98.0,96.0,,
10X351 - Bronx Collaborative High School,,,95.0,90.0,79.0,99.0,94.0,,
10X353 - World View High School,,,93.0,92.0,78.0,93.0,95.0,,
10X360 - P.S. 360,100.0,100.0,95.0,98.0,89.0,96.0,98.0,100.0,100.0
10X363 - Academy For Personal Leadership And Excellence,,,98.0,91.0,84.0,98.0,95.0,,
10X368 - In-Tech Academy (M.S. / High School 368),,,89.0,90.0,87.0,91.0,88.0,,
10X374 - Knowledge and Power Preparatory Academy International High School (Kappa),,,98.0,95.0,85.0,98.0,97.0,,
"10X382 - Elementary School for Math, Science, and Technology",,,93.0,92.0,84.0,95.0,92.0,,
10X386 - School for Environmental Citizenship,50.0,100.0,87.0,91.0,90.0,86.0,90.0,100.0,100.0
10X390 - M.S. 390,,,96.0,95.0,90.0,95.0,95.0,,
10X391 - The Angelo Patri Middle School,,,96.0,97.0,73.0,97.0,95.0,,
10X396 - P.S. 396,100.0,97.0,95.0,95.0,91.0,94.0,96.0,100.0,100.0
10X397 - English Language Learners and International Support Preparatory Academy (ELLIS),,,97.0,100.0,81.0,100.0,98.0,,
10X433 - High School for Teaching and the Professions,,,96.0,95.0,89.0,97.0,94.0,,
10X434 - Belmont Preparatory High School,,,81.0,83.0,74.0,85.0,86.0,,
10X437 - Fordham High School for the Arts,,,95.0,93.0,81.0,94.0,94.0,,
10X438 - Fordham Leadership Academy,,,96.0,96.0,75.0,96.0,97.0,,
10X439 - Bronx High School for Law and Community Service,,,95.0,100.0,93.0,100.0,100.0,,
10X440 - DeWitt Clinton High School,,,95.0,88.0,63.0,94.0,93.0,,
"10X442 - Celia Cruz Bronx High School of Music, The",,,95.0,93.0,74.0,94.0,94.0,,
10X445 - The Bronx High School of Science,,,95.0,91.0,71.0,96.0,93.0,,
10X447 - Creston Academy,,,96.0,96.0,86.0,96.0,96.0,,
10X477 - Marble Hill High School for International Studies,,,95.0,99.0,85.0,98.0,100.0,,
10X524 - Crotona International High School,,,100.0,100.0,100.0,100.0,100.0,,
10X546 - Bronx Theatre High School,,,93.0,93.0,64.0,94.0,93.0,,
10X549 - Discovery High School,,,98.0,98.0,77.0,98.0,98.0,,
10X565 - High School for Energy and Technology,,,93.0,95.0,71.0,94.0,97.0,,
10X696 - High School of American Studies at Lehman College,,,97.0,93.0,77.0,99.0,95.0,,
11X016 - P.S. 016 Wakefield,84.0,100.0,97.0,96.0,90.0,94.0,97.0,100.0,95.0
11X019 - P.S. 019 Judith K. Weiss,,100.0,97.0,97.0,92.0,98.0,99.0,100.0,100.0
11X021 - P.S. 021 Philip H. Sheridan,,,97.0,95.0,95.0,98.0,97.0,,
11X041 - P.S. 041 Gun Hill Road,,,96.0,94.0,85.0,95.0,95.0,,
11X068 - P.S. 068 Bronx,44.0,100.0,96.0,95.0,87.0,96.0,95.0,89.0,100.0
11X076 - P.S. 076 The Bennington School,,,95.0,92.0,85.0,94.0,96.0,,
11X078 - P.S. 078 Anne Hutchinson,71.0,97.0,95.0,95.0,86.0,95.0,94.0,100.0,93.0
11X083 - P.S. 083 Donald Hertz,,,95.0,92.0,79.0,96.0,95.0,,
11X087 - P.S. 087 Bronx,,,88.0,93.0,89.0,89.0,95.0,,
11X089 - P.S. 089 Bronx,,,87.0,90.0,88.0,87.0,91.0,,
11X096 - P.S. 096 Richard Rodgers,100.0,100.0,94.0,94.0,90.0,95.0,94.0,100.0,100.0
11X097 - P.S. 097 Bronx,,,93.0,92.0,92.0,94.0,95.0,,
11X103 - P.S. 103 Hector Fontanez,90.0,100.0,96.0,97.0,91.0,97.0,96.0,100.0,100.0
11X105 - P.S. 105 Sen Abraham Bernstein,,,95.0,95.0,85.0,94.0,93.0,,
11X106 - P.S. 106 Parkchester,90.0,100.0,96.0,94.0,85.0,95.0,95.0,100.0,100.0
11X108 - P.S. 108 Philip J. Abinanti,100.0,93.0,93.0,94.0,88.0,94.0,96.0,100.0,100.0
11X111 - P.S. 111 Seton Falls,,,94.0,94.0,92.0,92.0,97.0,,
11X112 - P.S. 112 Bronxwood,100.0,100.0,92.0,93.0,93.0,91.0,96.0,100.0,100.0
11X121 - P.S. 121 Throop,,,93.0,93.0,91.0,95.0,93.0,,
11X127 - J.H.S. 127 The Castle Hill,,,94.0,89.0,73.0,94.0,91.0,,
11X144 - J.H.S. 144 Michelangelo,,,94.0,94.0,83.0,95.0,95.0,,
11X153 - P.S. 153 Helen Keller,,,99.0,96.0,94.0,99.0,98.0,,
11X160 - P.S. 160 Walt Disney,57.0,100.0,93.0,92.0,94.0,92.0,96.0,100.0,100.0
11X169 - Baychester Academy,60.0,93.0,93.0,94.0,90.0,95.0,92.0,100.0,87.0
11X175 - P.S. 175 City Island,,,97.0,99.0,91.0,100.0,98.0,,
11X178 - P.S. 178 - Dr. Selman Waksman,57.0,100.0,90.0,91.0,94.0,90.0,92.0,100.0,100.0
11X180 - M.S. 180 Dr. Daniel Hale Williams,,,92.0,87.0,83.0,92.0,92.0,,
11X181 - I.S. 181 Pablo Casals,,,95.0,92.0,81.0,96.0,94.0,,
11X189 - Cornerstone Academy for Social Action,82.0,90.0,99.0,95.0,89.0,98.0,95.0,100.0,90.0
11X194 - P.S./M.S. 194,,,94.0,94.0,83.0,95.0,95.0,,
11X249 - Bronx Health Sciences High School,,,98.0,96.0,84.0,100.0,100.0,,
11X253 - Bronx High School for Writing and Communication Arts,,,95.0,92.0,79.0,95.0,92.0,,
11X265 - Bronx Lab School,,,100.0,99.0,93.0,99.0,100.0,,
11X270 - Academy for Scholarship and Entrepreneurship: A College Board School,,,94.0,95.0,82.0,96.0,95.0,,
11X275 - High School of Computers and Technology,,,94.0,87.0,77.0,97.0,86.0,,
11X287 - North Bronx School of Empowerment,,,97.0,96.0,77.0,98.0,98.0,,
11X288 - Collegiate Institute for Math and Science,,,97.0,91.0,82.0,97.0,95.0,,
11X290 - Bronx Academy of Health Careers,,,91.0,83.0,72.0,93.0,92.0,,
11X299 - Astor Collegiate Academy,,,94.0,91.0,83.0,94.0,100.0,,
11X326 - Bronx Green Middle School,,,98.0,97.0,81.0,98.0,99.0,,
11X355 - Bronx Alliance Middle School,,,97.0,92.0,74.0,94.0,94.0,,
11X357 - Young Voices Academy of the Bronx,75.0,100.0,95.0,94.0,91.0,96.0,96.0,95.0,95.0
11X370 - Leaders of Tomorrow,,,93.0,93.0,73.0,94.0,94.0,,
11X418 - Bronx High School for the Visual Arts,,,93.0,94.0,77.0,96.0,89.0,,
11X455 - Harry S Truman High School,,,91.0,86.0,66.0,94.0,92.0,,
11X462 - Cornerstone Academy for Social Action Middle School (CASA),,,93.0,91.0,88.0,93.0,93.0,,
11X468 - Pelham Academy of Academics and Community Engagement,,,95.0,95.0,86.0,94.0,96.0,,
11X481 - The STEAM Bridge School,,,97.0,96.0,94.0,97.0,97.0,,
11X483 - The Matilda Avenue School,,,99.0,98.0,83.0,99.0,98.0,,
11X498 - P.S./M.S. 11X498 - Van Nest Academy,,,94.0,92.0,89.0,94.0,95.0,,
11X508 - Bronxdale High School,,,95.0,95.0,75.0,94.0,95.0,,
11X509 - High School of Language and Innovation,,,98.0,96.0,79.0,98.0,97.0,,
11X513 - New World High School,,,97.0,98.0,93.0,100.0,96.0,,
11X514 - The Bronxwood Preparatory Academy,,,96.0,94.0,74.0,96.0,94.0,,
11X529 - One World Middle School at Edenwald,,,97.0,96.0,83.0,96.0,95.0,,
11X532 - Baychester Middle School,,,100.0,93.0,82.0,91.0,92.0,,
11X542 - Pelham Preparatory Academy,,,95.0,94.0,72.0,92.0,94.0,,
11X544 - High School for Contemporary Arts,,,92.0,92.0,86.0,96.0,95.0,,
11X545 - Bronx Aerospace High School,,,91.0,82.0,68.0,93.0,87.0,,
11X556 - Bronx Park Middle School,,,93.0,92.0,69.0,94.0,93.0,,
11X566 - Pelham Gardens Middle School,,,97.0,94.0,84.0,97.0,94.0,,
11X567 - Linden Tree Elementary School,,,91.0,98.0,87.0,91.0,100.0,,
12X006 - P.S. 006 West Farms,73.0,87.0,98.0,97.0,91.0,98.0,98.0,100.0,82.0
12X044 - P.S. 044 David C. Farragut,,,95.0,91.0,77.0,91.0,93.0,,
12X047 - P.S. 047 John Randolph,,,93.0,90.0,86.0,93.0,92.0,,
12X057 - P.S. 057 Crescent,100.0,100.0,99.0,99.0,94.0,99.0,98.0,100.0,100.0
12X061 - P.S. 061 Francisco Oller,,100.0,99.0,94.0,89.0,99.0,97.0,100.0,100.0
12X066 - P.S. 066 School of Higher Expectations,90.0,100.0,96.0,95.0,79.0,94.0,95.0,100.0,100.0
12X067 - P.S. 067 Mohegan School,71.0,79.0,87.0,91.0,88.0,92.0,94.0,100.0,86.0
12X098 - J.H.S. 098 Herman Ridder,,,95.0,97.0,82.0,96.0,96.0,,
